                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.40032,                0.30958,                0.99498,                0.88451,                 0.9519,                0.95971,                0.85767,                 0.6006,                0.49799,                 1.2867,             0.00026894,             0.00026894,             0.00026894
                     84,                0.40239,                0.30405,                0.98173,                0.90651,                0.94089,                0.98158,                0.87564,                0.61369,                0.46493,                 1.3042,             0.00025479,             0.00025479,             0.00025479
                     85,                0.40272,                0.30727,                0.99426,                0.92775,                0.94973,                0.97181,                0.85992,                   0.57,                0.42565,                  1.245,             0.00024064,             0.00024064,             0.00024064
                     86,                0.38666,                0.29623,                0.98226,                0.92734,                0.97945,                0.97928,                0.88086,                0.55951,                0.41114,                  1.233,              0.0002265,              0.0002265,              0.0002265
                     87,                0.39846,                0.29116,                0.98881,                0.87652,                0.98081,                0.96263,                0.85798,                0.54479,                0.43137,                 1.2277,             0.00021235,             0.00021235,             0.00021235
                     88,                0.38916,                0.30155,                0.97468,                0.93825,                0.91623,                0.97007,                0.84644,                0.61512,                0.41429,                 1.3233,              0.0001982,              0.0001982,              0.0001982
                     89,                0.38735,                0.28373,                0.99142,                0.82425,                0.98812,                 0.9605,                0.84387,                0.60392,                0.44914,                 1.3279,             0.00018406,             0.00018406,             0.00018406
                     90,                0.37527,                0.27604,                0.98325,                0.82412,                0.97313,                0.93809,                0.83932,                0.56887,                0.46599,                 1.2849,             0.00016991,             0.00016991,             0.00016991
                     91,                0.38315,                0.26963,                 0.9944,                0.87925,                0.97765,                0.95062,                0.85751,                0.57418,                0.42068,                 1.2577,             0.00015576,             0.00015576,             0.00015576
                     92,                0.35669,                0.27509,                  0.958,                 0.8913,                0.99275,                0.97472,                0.88245,                 0.5519,                0.38735,                 1.2425,             0.00014161,             0.00014161,             0.00014161
                     93,                0.35981,                0.26776,                 0.9645,                0.94542,                0.93806,                0.98011,                0.89267,                0.57072,                0.39784,                 1.2567,             0.00012747,             0.00012747,             0.00012747
                     94,                0.35796,                0.27099,                0.96751,                0.91259,                0.96685,                0.97185,                0.88714,                0.56873,                0.42475,                 1.2546,             0.00011332,             0.00011332,             0.00011332
                     95,                0.35541,                0.26012,                0.96742,                0.92969,                0.98689,                0.97632,                0.88816,                0.57636,                0.41209,                 1.2564,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.36146,                0.27191,                0.97032,                0.91824,                0.98188,                0.97793,                0.88445,                0.56798,                0.40414,                 1.2471,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 0.3682,                 0.2675,                0.97527,                0.90387,                0.98184,                0.96878,                0.88227,                0.55797,                 0.3866,                 1.2416,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.33787,                0.25425,                0.96345,                0.92743,                0.97751,                0.97262,                0.88311,                0.55326,                0.38161,                 1.2402,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.34214,                 0.2572,                0.95644,                0.91517,                0.99137,                0.97569,                0.88627,                 0.5458,                 0.3563,                 1.2273,             4.2584e-05,             4.2584e-05,             4.2584e-05
